ensemble,voting,accuracy,f1_binary,f1_micro,f1_macro,roc_auc
LGBM+SAGE,hard,0.8332396582733813,0.83738010413812,0.8332396582733813,0.8331314846776303,0.9759015499904143
LGBM+SAGE,soft,0.8332396582733813,0.83738010413812,0.8332396582733813,0.8331314846776303,0.9759015499904143
LGBM+GNN+SAGE,soft,0.8322841726618705,0.8365826944140197,0.8322841726618705,0.8321680500470006,0.9763562579591221
XGB+LGBM+SAGE,soft,0.8220548561151079,0.8244427193079739,0.8220548561151079,0.8220219294545568,0.9755506489831286
XGB+LGBM+GNN+SAGE,soft,0.8202562949640287,0.8224714111246808,0.8202562949640287,0.8202283065868139,0.9768902400271169
XGB+LGBM+SAGE,hard,0.8144671762589928,0.8157409991627128,0.8144671762589928,0.8144583087386374,0.9755506489831286
XGB+LGBM,hard,0.8128934352517986,0.8144059764732118,0.8128934352517986,0.8128810071633357,0.9395469410685605
XGB+LGBM,soft,0.8128934352517986,0.8144059764732118,0.8128934352517986,0.8128810071633357,0.9395469410685605
XGB+LGBM+GNN,soft,0.8117131294964028,0.8132247992863515,0.8117131294964028,0.8117007949287605,0.9456318297408906
XGB+LGBM+GNN+SAGE,hard,0.8122751798561151,0.8131573058849855,0.8122751798561151,0.8122709953865859,0.9768902400271169
LGBM,hard,0.8056429856115108,0.8071173583221776,0.8056429856115108,0.8056316288665714,0.9413839829703228
LGBM,soft,0.8056429856115108,0.8071173583221776,0.8056429856115108,0.8056316288665714,0.9413839829703228
LGBM+GNN,hard,0.8031137589928058,0.8044437001060682,0.8031137589928058,0.8031046523845378,0.9402405763601026
LGBM+GNN,soft,0.8031137589928058,0.8044437001060682,0.8031137589928058,0.8031046523845378,0.9402405763601026
XGB+GNN+SAGE,soft,0.7962567446043165,0.7934590621617001,0.7962567446043165,0.7962193552920185,0.9746471047168744
RF+XGB+LGBM+SAGE,soft,0.7901303956834532,0.7861152480238286,0.7901303956834532,0.790056410285775,0.970482873682176
